id,source,text,favorite_count,retweet_count,created_y,created_m,created_d,created_h,created_min
1252915116363874305,Twitter for iPhone,"I will be signing my Executive Order prohibiting immigration into our Country today. In the meantime, even without this order, our Southern Border, aided substantially by the 170 miles of new Border Wall &amp; 27,000 Mexican soldiers, is very tight - including for human trafficking!",173035,36359,2020,4,22,11,0
1252912612821667840,Twitter for iPhone,“Economic impact of Covid-19.” @foxandfriends Very interesting analysis. Light at the end of the tunnel. Thank you!,74506,14398,2020,4,22,10,50
1252803444844494854,Twitter for iPhone,Harvard should give back the money now. Their whole “endowment” system should be looked at! https://t.co/LcjOcsnCWT,117334,29297,2020,4,22,3,36
1252697006562250752,Twitter for iPhone,"Great new book just out by the Former Director of Ice, Tom Homan: “Defend the Border and Save Lives: Solving Our Most Important Humanitarian and Security Crisis.” Great guy, get your copy today! https://t.co/zgaQBHoSp9",59384,14872,2020,4,21,20,33
1252688538069618689,Twitter for iPhone,I will be having a White House Press Conference today at 5:30 P.M. Thank you!,125684,17982,2020,4,21,19,59
1252640539574448128,Twitter for iPhone,"....to State/Local Governments for lost revenues from COVID 19, much needed Infrastructure Investments for Bridges, Tunnels, Broadband, Tax Incentives for Restaurants, Entertainment, Sports, and Payroll Tax Cuts to increase Economic Growth.",61313,13568,2020,4,21,16,49
1252640538647506947,Twitter for iPhone,"I urge the Senate and House to pass the Paycheck Protection Program and Health Care Enhancement Act with additional funding for PPP, Hospitals, and Testing. After I sign this Bill, we will begin discussions on the next Legislative Initiative with fiscal relief....",116444,25452,2020,4,21,16,49
1252591306028785667,Twitter for iPhone,We will never let the great U.S. Oil &amp; Gas Industry down. I have instructed the Secretary of Energy and Secretary of the Treasury to formulate a plan which will make funds available so that these very important companies and jobs will be secured long into the future!,162425,32915,2020,4,21,13,33
1252556676818968576,Twitter for iPhone,"96% Approval Rating in the Republican Party. Thank you! This must also mean that, most importantly, we are doing a good (great) job in the handling of the Pandemic.",213680,35298,2020,4,21,11,15
1252552057170649088,Twitter for iPhone,"I’ve had great “ratings” my whole life, there’s nothing unusual about that for me. The White House News Conference ratings are “through the roof”(Monday Night Football, Bachelor Finale , @nytimes) but I don’t care about that. I care about going around the Fake News to the PEOPLE!",148930,30106,2020,4,21,10,57
1252547765332324352,Twitter for iPhone,"It is amazing that I became President of the United States with such a totally corrupt and dishonest Lamestream Media going after me all day, and all night. Either I’m really good, far better than the Fake News wants to admit, or they don’t have nearly the power as once thought!",335158,61960,2020,4,21,10,40
1252542407285055489,Twitter for iPhone,"Watched the first 5 minutes of poorly rated Morning Psycho on MSDNC just to see if he is as “nuts” as people are saying. He’s worse. Such hatred and contempt! I used to do his show all the time before the 2016 election, then cut him off. Wasn’t worth the effort, his mind is shot!",117514,24141,2020,4,21,10,19
1252436473866973185,Twitter for iPhone,Great Alan. They are Fake News! https://t.co/n7zUY7mzIQ,72982,16601,2020,4,21,3,18
1252435487437938690,Twitter for iPhone,7 Devastating Revelations About Crossfire Hurricane In New Releases https://t.co/TMxeVDJbIU   The greatest political scam in American history!,73708,27113,2020,4,21,3,14
1252418369170501639,Twitter for iPhone,"In light of the attack from the Invisible Enemy, as well as the need to protect the jobs of our GREAT American Citizens, I will be signing an Executive Order to temporarily suspend immigration into the United States!",405759,92844,2020,4,21,2,6
1252417321685053440,Twitter for iPhone,"...He is Strong on Crime, the Border, and Second Amendment. Mike has my Complete and Total Endorsement! Turn your Ballots in now and track them, watching for dishonesty. Report to Law Enforcement. https://t.co/MEnGMv3wTT",35527,9198,2020,4,21,2,2
1252417320347033614,Twitter for iPhone,".@MikeGarcia2020 will be a tremendous fighter for the U.S. and the State of California. An Annapolis graduate, he served our Country as a highly decorated Navy Fighter Pilot and will be a great Congressman (#CA25). Loves our Military, and Vets...",71891,17509,2020,4,21,2,2
1252416051645607938,Twitter for iPhone,"....He is Strong on Crime, the Border, and Second Amendment. Tom has deep roots in Wisconsin, is a big Tax Cutter, and will help me DRAIN THE SWAMP! Tom has my Complete and Total Endorsement. Vote for Tom Tiffany! https://t.co/5OqIca08Rr",37562,9309,2020,4,21,1,57
1252416049942687747,Twitter for iPhone,"Tom Tiffany (@TomTiffanyWI) is a Great Advocate for the incredible people of Wisconsin (WI07). We need Tom in Congress to help us Make America Great Again! He will Fight for Small Business, supports our Incredible Farmers, Loves our Military and our Vets....",60372,14515,2020,4,21,1,57
1252331100367663104,Twitter for iPhone,I will be having a White House Press Conference today at 5:30 P.M. Thank you!,133613,18851,2020,4,20,20,19
1252260074782887941,Twitter for iPhone,"... “Testing, Testing, Testing,” again playing a very dangerous political game. States, not the Federal Government, should be doing the Testing - But we will work with the Governors and get it done. This is easy compared to the fast production of thousands of complex Ventilators!",97671,21815,2020,4,20,15,37
1252260073839177728,Twitter for iPhone,"Last month all you heard from the Radical Left, Do Nothing Democrats was, “Ventilators, Ventilators, Ventilators.” They screamed it loud &amp; clear, &amp; thought they had us cold, even though it was the State’s task. But everyone got their V’s, with many to spare. Now they scream....",140215,30533,2020,4,20,15,37
1252243673867313152,Twitter for iPhone,"Received a very nice call from @GovTimWalz of Minnesota. We are working closely on getting him all he needs, and fast. Good things happening!",109823,18680,2020,4,20,14,32
